,Statistic,P-Value,Sig(*)
Balanced Accuracy,73.666044,0.0,*
Accuracy,73.693581,0.0,*
F1_Score,72.808111,0.0,*
Sensitivity (Recall),68.669802,0.0,*
Specificity,64.21966,0.0,*
Precision (PPV),67.607914,0.0,*
TP,69.142357,0.0,*
TN,64.496738,0.0,*
FP,64.390898,0.0,*
FN,68.397795,0.0,*
NPV,72.993108,0.0,*
LR+,43.133418,0.0,*
LR-,72.987714,0.0,*
ROC_AUC,76.160989,0.0,*
PRC_AUC,72.972335,0.0,*
PRC_APS,75.675209,0.0,*
